Iteration,Residuum
0,1
1,0.5
2,0.375
3,0.3125
4,0.2734375
5,0.185546875
6,0.1220703125
7,0.0799560546875
8,0.052337646484375
9,0.0342559814453125
10,0.022420883178710938
11,0.014674663543701172
12,0.009604692459106445
13,0.006286352872848511
14,0.00411447137594223
15,0.0026929564774036407
16,0.0017625628970563412
17,0.0011536123929545283
18,0.0007550491136498749
19,0.0004941860606777482
20,0.00032344897590519395
21,0.0002117001031365362
22,0.00013855951635832753
23,9.068838082271213e-05
24,5.935631584463863e-05
25,3.8849213082059464e-05
26,2.5427140071254684e-05
27,1.6642279235812296e-05
28,1.0892513172544582e-05
29,7.129242426962001e-06
30,4.6661497468125646e-06
31,3.0540346586116485e-06
32,1.9988916347690733e-06
33,1.30829155964296e-06
34,8.56287942885281e-07
35,5.604477345544367e-07
36,3.668178044646808e-07
37,2.4008537014008624e-07
38,1.5713791468030536e-07
39,1.0284810014749013e-07
