Iteration,Residuum
0,1
1,0.6
2,0.45600000000000007
3,0.3811199999999999
4,0.33388799999999985
5,0.12141772800000039
6,0.058370519040000124
7,0.027049965158399747
8,0.012041968386047985
9,0.005519150422425234
10,0.002506347724878566
11,0.0011377624509953943
12,0.0005175169196247609
13,0.00023514156827986188
14,0.00010686547799443336
15,4.85709372770593e-05
16,2.2073826758117754e-05
17,1.0032164822981748e-05
18,4.559422672301139e-06
19,2.0721587935534913e-06
20,9.417545601131394e-07
21,4.280080561080979e-07
22,1.945208424336542e-07
